"","child","parent","length"
"1","CHEBI:5088","CHEBI:23367",8
"2","CHEBI:10119","CHEBI:23367",7
"3","CHEBI:71219","CHEBI:23367",8
"4","CHEBI:17115","CHEBI:23367",9
"5","CHEBI:2950","CHEBI:23367",9
"6","CHEBI:60761","CHEBI:23367",7
"7","CHEBI:3478","CHEBI:23367",10
"8","CHEBI:3398","CHEBI:23367",9
"9","CHEBI:16714","CHEBI:23367",9
"10","CHEBI:2915","CHEBI:23367",7
"11","CHEBI:28939","CHEBI:23367",10
"12","CHEBI:63611","CHEBI:23367",8
"13","CHEBI:9588","CHEBI:23367",9
"14","CHEBI:31783","CHEBI:23367",7
"15","CHEBI:31468","CHEBI:23367",9
"16","CHEBI:6904","CHEBI:23367",8
"17","CHEBI:7565","CHEBI:23367",10
"18","CHEBI:4453","CHEBI:23367",7
"19","CHEBI:48669","CHEBI:23367",9
"20","CHEBI:59560","CHEBI:23367",12
"21","CHEBI:3561","CHEBI:23367",8
"22","CHEBI:3172","CHEBI:23367",7
"23","CHEBI:8214","CHEBI:23367",10
"24","CHEBI:7444","CHEBI:59999",4
"25","CHEBI:6758","CHEBI:23367",12
"26","CHEBI:15782","CHEBI:23367",10
"27","CHEBI:8228","CHEBI:23367",8
"28","CHEBI:7789","CHEBI:23367",8
"29","CHEBI:2637","CHEBI:23367",8
"30","CHEBI:59224","CHEBI:23367",10
"31","CHEBI:4974","CHEBI:23367",9
"32","CHEBI:52010","CHEBI:23367",9
"33","CHEBI:34911","CHEBI:23367",8
"34","CHEBI:9241","CHEBI:23367",8
"35","CHEBI:18095","CHEBI:23367",11
"36","CHEBI:104011","CHEBI:23367",10
"37","CHEBI:32181","CHEBI:23367",8
"38","CHEBI:3312","CHEBI:23367",5
"39","CHEBI:2569","CHEBI:23367",9
"40","CHEBI:4728","CHEBI:23367",11
"41","CHEBI:51209","CHEBI:23367",8
"42","CHEBI:8716","CHEBI:23367",7
"43","CHEBI:7820","CHEBI:23367",9
"44","CHEBI:7798","CHEBI:23367",9
"45","CHEBI:32599","CHEBI:23367",5
"46","CHEBI:64317","CHEBI:23367",8
"47","CHEBI:4513","CHEBI:23367",10
"48","CHEBI:27732","CHEBI:23367",11
"49","CHEBI:2904","CHEBI:23367",9
"50","CHEBI:16708","CHEBI:23367",10
"51","CHEBI:2788","CHEBI:23367",8
"52","CHEBI:2948","CHEBI:23367",8
"53","CHEBI:5163","CHEBI:23367",9
"54","CHEBI:4591","CHEBI:23367",9
"55","CHEBI:251412","CHEBI:23367",10
"56","CHEBI:2376","CHEBI:23367",11
"57","CHEBI:17698","CHEBI:23367",7
"58","CHEBI:4708","CHEBI:23367",7
"59","CHEBI:309594","CHEBI:23367",9
"60","CHEBI:31856","CHEBI:23367",10
"61","CHEBI:5959","CHEBI:23367",8
"62","CHEBI:15367","CHEBI:23367",11
"63","CHEBI:59269","CHEBI:23367",8
"64","CHEBI:3495","CHEBI:23367",10
"65","CHEBI:7731","CHEBI:23367",7
"66","CHEBI:31794","CHEBI:23367",6
"67","CHEBI:10033","CHEBI:59999",4
"68","CHEBI:2639","CHEBI:23367",7
"69","CHEBI:10100","CHEBI:23367",9
"70","CHEBI:59213","CHEBI:23367",8
"71","CHEBI:27470","CHEBI:23367",9
"72","CHEBI:101085","CHEBI:23367",8
"73","CHEBI:63589","CHEBI:23367",7
"74","CHEBI:18050","CHEBI:23367",9
"75","CHEBI:291342","CHEBI:23367",9
"76","CHEBI:2675","CHEBI:23367",10
"77","CHEBI:10102","CHEBI:23367",9
"78","CHEBI:31197","CHEBI:23367",5
"79","CHEBI:27999","CHEBI:23367",9
"80","CHEBI:53486","CHEBI:23367",10
"81","CHEBI:59343","CHEBI:23367",8
"82","CHEBI:59514","CHEBI:23367",7
"83","CHEBI:31225","CHEBI:23367",8
"84","CHEBI:59788","CHEBI:23367",9
"85","CHEBI:4670","CHEBI:23367",10
"86","CHEBI:6784","CHEBI:23367",7
"87","CHEBI:16724","CHEBI:23367",8
"88","CHEBI:9328","CHEBI:23367",9
"89","CHEBI:554446","CHEBI:23367",10
"90","CHEBI:64356","CHEBI:23367",11
"91","CHEBI:6030","CHEBI:23367",8
"92","CHEBI:40009","CHEBI:23367",9
"93","CHEBI:72564","CHEBI:23367",7
"94","CHEBI:8354","CHEBI:23367",6
"95","CHEBI:4638","CHEBI:23367",8
"96","CHEBI:17561","CHEBI:23367",9
"97","CHEBI:23359","CHEBI:23367",8
"98","CHEBI:75273","CHEBI:23367",7
"99","CHEBI:16919","CHEBI:23367",8
"100","CHEBI:66876","CHEBI:23367",7
"101","CHEBI:5195","CHEBI:23367",9
"102","CHEBI:66919","CHEBI:23367",9
"103","CHEBI:70735","CHEBI:23367",7
"104","CHEBI:38010","CHEBI:23367",9
"105","CHEBI:9948","CHEBI:59999",4
"106","CHEBI:8713","CHEBI:23367",9
"107","CHEBI:7809","CHEBI:23367",10
"108","CHEBI:31236","CHEBI:23367",7
"109","CHEBI:63625","CHEBI:23367",8
"110","CHEBI:4792","CHEBI:23367",7
"111","CHEBI:72690","CHEBI:23367",8
"112","CHEBI:8059","CHEBI:23367",10
"113","CHEBI:4681","CHEBI:23367",8
"114","CHEBI:404903","CHEBI:23367",10
"115","CHEBI:8066","CHEBI:23367",9
"116","CHEBI:204928","CHEBI:23367",8
"117","CHEBI:50838","CHEBI:23367",9
"118","CHEBI:100241","CHEBI:23367",7
"119","CHEBI:8249","CHEBI:23367",9
"120","CHEBI:7459","CHEBI:23367",8
"121","CHEBI:8435","CHEBI:23367",7
"122","CHEBI:114785","CHEBI:23367",7
"123","CHEBI:126237","CHEBI:23367",11
