DOID:0014667	disease of metabolism
DOID:0050117	disease by infectious agent
DOID:0080015	physical disorder
DOID:14566	disease of cellular proliferation
DOID:150	disease of mental health
DOID:225	syndrome
DOID:630	genetic disease
DOID:7	disease of anatomical entity
