"","child","parent","length"
"171","DOID:13951","DOID:14566",8
"172","DOID:13956","DOID:14566",8
"173","DOID:13957","DOID:14566",8
"174","DOID:13955","DOID:14566",8
"175","DOID:1361","DOID:14566",6
"176","DOID:1360","DOID:14566",6
"177","DOID:1363","DOID:14566",6
"178","DOID:1362","DOID:14566",6
"179","DOID:1364","DOID:14566",6
"180","DOID:10971","DOID:7",7
"181","DOID:10970","DOID:7",7
"182","DOID:10973","DOID:7",6
"183","DOID:10972","DOID:7",6
"184","DOID:10974","DOID:7",5
"185","DOID:10976","DOID:7",6
"186","DOID:7907","DOID:14566",6
"187","DOID:7903","DOID:14566",8
"188","DOID:7902","DOID:14566",8
"189","DOID:5809","DOID:14566",11
"190","DOID:9811","DOID:7",9
"191","DOID:262","DOID:14566",6
"192","DOID:5805","DOID:7",7
"193","DOID:1587","DOID:7",8
"194","DOID:14332","DOID:7",6
"195","DOID:261","DOID:14566",9
"196","DOID:1509","DOID:150",3
"197","DOID:1508","DOID:0050117",5
"198","DOID:1583","DOID:7",6
"199","DOID:9945","DOID:7",7
"200","DOID:9946","DOID:7",9
"201","DOID:9942","DOID:7",4
"202","DOID:0060497","DOID:7",6
"203","DOID:0060496","DOID:7",5
"204","DOID:0060495","DOID:7",6
"205","DOID:0060492","DOID:7",7
"206","DOID:0060491","DOID:7",5
"207","DOID:0060490","DOID:7",8
"208","DOID:0060499","DOID:7",7
"209","DOID:0060498","DOID:7",7
"210","DOID:0060541","DOID:630",6
"211","DOID:0060540","DOID:630",6
"212","DOID:0060543","DOID:630",6
"213","DOID:0060542","DOID:630",6
"214","DOID:0050608","DOID:14566",8
"215","DOID:0050605","DOID:0014667",4
"216","DOID:0050604","DOID:7",7
"217","DOID:0050606","DOID:7",5
"218","DOID:0050601","DOID:630",5
"219","DOID:0050600","DOID:630",5
"220","DOID:0050603","DOID:7",7
"221","DOID:0050602","DOID:630",5
"222","DOID:5628","DOID:14566",10
"223","DOID:5629","DOID:14566",10
"224","DOID:0060231","DOID:225",2
"225","DOID:5621","DOID:14566",6
"226","DOID:0060546","DOID:630",6
"227","DOID:5624","DOID:14566",8
"228","DOID:5625","DOID:14566",7
"229","DOID:5626","DOID:14566",7
"230","DOID:5627","DOID:14566",8
"231","DOID:9369","DOID:7",8
"232","DOID:9368","DOID:7",6
"233","DOID:10519","DOID:7",8
"234","DOID:10518","DOID:7",7
"235","DOID:824","DOID:7",6
"236","DOID:9360","DOID:7",6
"237","DOID:827","DOID:0050117",7
"238","DOID:820","DOID:7",6
"239","DOID:10516","DOID:7",7
"240","DOID:823","DOID:7",7
"241","DOID:5375","DOID:14566",6
"242","DOID:0050469","DOID:630",5
"243","DOID:0050468","DOID:225",2
"244","DOID:0050461","DOID:0014667",4
"245","DOID:0050460","DOID:630",4
"246","DOID:0050463","DOID:7",7
"247","DOID:0050462","DOID:630",5
"248","DOID:0050465","DOID:630",6
"249","DOID:0050464","DOID:0014667",5
"250","DOID:0050467","DOID:7",4
"251","DOID:0050466","DOID:630",5
"252","DOID:4281","DOID:14566",8
"253","DOID:4280","DOID:14566",8
"254","DOID:4283","DOID:14566",10
"255","DOID:4282","DOID:14566",8
"256","DOID:4284","DOID:14566",9
"257","DOID:4287","DOID:14566",9
"258","DOID:4286","DOID:14566",8
"259","DOID:4289","DOID:14566",8
"260","DOID:4288","DOID:14566",8
"261","DOID:3459","DOID:14566",6
"262","DOID:3458","DOID:14566",7
"263","DOID:3109","DOID:7",7
"264","DOID:3108","DOID:0050117",4
"265","DOID:3451","DOID:14566",6
"266","DOID:3450","DOID:14566",7
"267","DOID:3107","DOID:0050117",4
"268","DOID:3454","DOID:7",6
"269","DOID:3457","DOID:14566",8
"270","DOID:3456","DOID:7",6
"271","DOID:2859","DOID:7",9
